timestamp,open,high,low,close,volume
2022-01-01 00:00:00,46216.93,46527.26,46208.37,46332.51,386.65709
2022-01-01 00:15:00,46332.52,46421.27,46236.27,46375.42,319.99973
2022-01-01 00:30:00,46375.42,46689.42,46360.19,46610.81,386.08077
2022-01-01 00:45:00,46610.81,46731.39,46575.76,46656.13,410.59336
2022-01-01 01:00:00,46656.14,46767.24,46574.06,46766.99,330.08774
2022-01-01 01:15:00,46766.99,46949.99,46752.17,46815.33,259.42027
2022-01-01 01:30:00,46815.34,46884.63,46748.05,46768.1,180.18171
2022-01-01 01:45:00,46768.11,46861.47,46711.9,46778.14,174.12567
2022-01-01 02:00:00,46778.14,46867.75,46769.95,46845.97,121.88714
2022-01-01 02:15:00,46845.98,46928.94,46826.0,46826.01,151.63112
2022-01-01 02:30:00,46826.0,46826.01,46721.96,46775.91,118.53757
2022-01-01 02:45:00,46775.9,46860.39,46773.93,46811.77,93.11277
2022-01-01 03:00:00,46811.77,46851.56,46760.12,46826.1,78.24895
2022-01-01 03:15:00,46826.11,46916.63,46777.0,46809.15,218.66839
2022-01-01 03:30:00,46809.16,46900.0,46809.15,46867.98,132.30528
2022-01-01 03:45:00,46867.98,46898.99,46813.2,46813.2,133.66709
2022-01-01 04:00:00,46813.21,46887.33,46630.23,46648.04,264.47177
2022-01-01 04:15:00,46648.04,46720.13,46591.23,46708.14,199.9158
2022-01-01 04:30:00,46708.13,46783.76,46639.18,46734.52,248.42884
2022-01-01 04:45:00,46734.52,46842.98,46708.0,46711.05,149.06748
2022-01-01 05:00:00,46711.05,46780.0,46673.94,46780.0,103.53838
2022-01-01 05:15:00,46780.0,47500.0,46762.63,47379.13,689.54354
2022-01-01 05:30:00,47379.13,47555.55,47226.39,47300.0,407.37499
2022-01-01 05:45:00,47300.01,47314.47,47135.3,47192.55,200.27951
2022-01-01 06:00:00,47192.56,47324.42,47089.43,47307.04,169.14727
2022-01-01 06:15:00,47307.03,47307.04,47119.37,47130.36,98.75754
2022-01-01 06:30:00,47130.37,47197.32,47112.91,47158.02,86.74539
2022-01-01 06:45:00,47158.02,47235.49,46940.0,46979.62,259.32756
2022-01-01 07:00:00,46979.61,47044.26,46864.84,46990.23,175.37744
2022-01-01 07:15:00,46990.23,47052.98,46948.41,46959.61,119.88006
2022-01-01 07:30:00,46959.61,47122.91,46945.77,47096.7,132.61288
2022-01-01 07:45:00,47096.69,47255.85,47073.12,47194.73,218.33043
2022-01-01 08:00:00,47194.73,47228.86,47075.11,47151.37,131.91374
2022-01-01 08:15:00,47151.37,47344.69,47145.05,47305.23,183.98417
2022-01-01 08:30:00,47305.23,47313.91,47166.97,47210.18,109.50519
2022-01-01 08:45:00,47210.18,47260.0,47081.74,47124.82,107.04457
2022-01-01 09:00:00,47124.82,47215.56,47062.77,47205.77,127.12603
2022-01-01 09:15:00,47205.77,47205.78,47082.06,47094.74,85.76911
2022-01-01 09:30:00,47094.74,47126.85,46933.58,46988.47,221.1526
2022-01-01 09:45:00,46988.46,47143.99,46947.43,47143.98,107.27717
2022-01-01 10:00:00,47143.98,47298.75,47111.11,47111.12,128.77257
2022-01-01 10:15:00,47111.11,47111.12,46812.99,46874.25,285.13532
2022-01-01 10:30:00,46874.26,47017.95,46715.39,46979.5,366.49823
2022-01-01 10:45:00,46979.5,47081.02,46868.71,46871.08,142.61148
2022-01-01 11:00:00,46871.09,46960.39,46862.41,46925.19,164.2469
2022-01-01 11:15:00,46925.2,47007.73,46898.97,46956.77,171.41749
2022-01-01 11:30:00,46956.78,46994.24,46819.9,46946.36,218.58084
2022-01-01 11:45:00,46946.36,46978.42,46756.77,46758.87,178.6427
2022-01-01 12:00:00,46758.87,46992.6,46756.3,46990.62,132.00011
2022-01-01 12:15:00,46990.14,47012.49,46884.87,46959.51,120.00104
2022-01-01 12:30:00,46959.51,47150.48,46941.2,47008.32,222.54846
